PVout_norm,price_norm,imb_norm,SOC_before,sin_t,cos_t,action_kW
0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.13052619,0.9914449,0.0
0.0,0.0,0.0,0.0,0.25881904,0.9659258,0.0
0.0,0.0,0.0,0.0,0.38268343,0.9238795,0.0
0.0,0.0,0.0,0.0,0.5,0.8660254,0.0
0.0,0.0,0.0,0.0,0.6087614,0.7933533,0.0
0.0,0.0,0.0,0.0,0.70710677,0.70710677,0.0
0.0,0.0,0.0,0.0,0.7933533,0.6087614,0.0
0.0,0.0,0.0,0.0,0.8660254,0.5,0.0
0.0,0.0,0.0,0.0,0.9238795,0.38268343,0.0
0.0,0.0,0.0,0.0,0.9659258,0.25881904,0.0
0.0,0.0,0.0,0.0,0.9914449,0.13052619,0.0
0.0,0.0,0.0,0.0,1.0,6.123234e-17,0.0
0.0,0.0,0.0,0.0,0.9914449,-0.13052619,0.0
0.041666668,0.0,0.0,0.0,0.9659258,-0.25881904,-0.08
0.041666668,0.0,0.0,0.02,0.9238795,-0.38268343,-0.08
0.041666668,0.0,0.0,0.04,0.8660254,-0.5,-0.08
0.041666668,0.0,0.0,0.06,0.7933533,-0.6087614,-0.08
0.041666668,0.0,0.0,0.08,0.70710677,-0.70710677,-0.08
0.041666668,0.0,0.0,0.1,0.6087614,-0.7933533,-0.08
0.041666668,0.0,0.0,0.12,0.5,-0.8660254,-0.08
0.041666668,0.0,0.0,0.14,0.38268343,-0.9238795,-0.08
0.041666668,0.0,0.0,0.16,0.25881904,-0.9659258,-0.08
0.041666668,0.0,0.0,0.18,0.13052619,-0.9914449,-0.08
0.041666668,0.0,0.0,0.2,1.2246469e-16,-1.0,-0.08
0.041666668,0.0,0.0,0.22,-0.13052619,-0.9914449,-0.08
0.041666668,0.0,0.0,0.24,-0.25881904,-0.9659258,-0.08
0.041666668,0.0,0.0,0.26,-0.38268343,-0.9238795,-0.08
0.041666668,0.0,0.0,0.28,-0.5,-0.8660254,-0.08
0.041666668,0.0,0.0,0.3,-0.6087614,-0.7933533,-0.08
0.041666668,0.0,0.0,0.32,-0.70710677,-0.70710677,-0.08
0.041666668,0.0,0.0,0.34,-0.7933533,-0.6087614,-0.08
0.041666668,0.0,0.0,0.36,-0.8660254,-0.5,-0.08
0.041666668,0.0,0.0,0.38,-0.9238795,-0.38268343,-0.08
0.041666668,0.0,0.0,0.4,-0.9659258,-0.25881904,-0.08
0.041666668,0.0,0.0,0.42,-0.9914449,-0.13052619,-0.08
0.041666668,0.0,0.0,0.44,-1.0,-1.8369701e-16,-0.08
0.041666668,0.0,0.0,0.46,-0.9914449,0.13052619,-0.08
0.0,0.0,0.0,0.48,-0.9659258,0.25881904,0.0
0.0,0.25,0.0,0.48,-0.9238795,0.38268343,1.92
0.0,0.0,0.0,0.0,-0.8660254,0.5,0.0
0.0,0.0,0.0,0.0,-0.7933533,0.6087614,0.0
0.0,0.0,0.0,0.0,-0.70710677,0.70710677,0.0
0.0,0.0,0.0,0.0,-0.6087614,0.7933533,0.0
0.0,0.0,0.0,0.0,-0.5,0.8660254,0.0
0.0,0.0,0.0,0.0,-0.38268343,0.9238795,0.0
0.0,0.0,0.0,0.0,-0.25881904,0.9659258,0.0
0.0,0.0,0.0,0.0,-0.13052619,0.9914449,0.0
